fuel,engine_count,specific_impulse_s,fuel_density_kg_m3,fuel_mass_kg,fuel_volume_m3,fuel_volume_fraction,x51a_fuel_volume_equivalent,available_thrust_N,required_thrust_with_margin_N,powerplant_mass_kg,powerplant_mass_per_engine_kg,takeoff_mass_kg,takeoff_weight_N
JP-7,14,2400.0,803.0,24868.2,30.969,0.123877,203.056,840000.0,244392.8,2502.1,178.7,52547.7,515316.9
JP-7,14,2450.0,803.0,24185.3,30.119,0.120475,197.479,840000.0,244392.8,2502.1,178.7,51864.7,508619.3
JP-7,14,2500.0,803.0,23538.0,29.313,0.117250,192.194,840000.0,244392.8,2502.1,178.7,51217.4,502271.5
JP-7,16,2100.0,803.0,29907.6,37.245,0.148979,244.203,960000.0,244392.8,2502.1,156.4,57587.0,564735.7
JP-7,16,2150.0,803.0,28934.7,36.033,0.144133,236.260,960000.0,244392.8,2502.1,156.4,56614.2,555195.6
JP-7,16,2200.0,803.0,28021.5,34.896,0.139584,228.803,960000.0,244392.8,2502.1,156.4,55700.9,546239.5
JP-7,16,2250.0,803.0,27162.6,33.826,0.135305,221.790,960000.0,244392.8,2502.1,156.4,54842.0,537816.5
JP-7,16,2300.0,803.0,26353.4,32.819,0.131275,215.183,960000.0,244392.8,2502.1,156.4,54032.8,529881.2
JP-7,16,2350.0,803.0,25589.8,31.868,0.127471,208.948,960000.0,244392.8,2502.1,156.4,53269.3,522393.4
JP-7,16,2400.0,803.0,24868.2,30.969,0.123877,203.056,960000.0,244392.8,2502.1,156.4,52547.7,515316.9
JP-7,16,2450.0,803.0,24185.3,30.119,0.120475,197.479,960000.0,244392.8,2502.1,156.4,51864.7,508619.3
JP-7,16,2500.0,803.0,23538.0,29.313,0.117250,192.194,960000.0,244392.8,2502.1,156.4,51217.4,502271.5
